disease,symptoms
extrinsic allergic alveolitis,"chest tightness, slight weight loss, night sweats, malaise"
congenital blepharophimosis syndrome,"significant reduction in horizontal palpebral fissures, abnormally wide intercanthal distance, depressed nasal bridge, underdeveloped superior orbital rim"
pediatric achalasia,"dysphagia, chest pain, vomiting, gerd symptoms, child, abdominal pain, anemia"
mixed angina,"precordial pain, palpitations, light-headedness, nausea"
carbuncle,"ulcers, seropurulent secretions, pain, lymphadenopathy"
vulvar lymphangioma,"nodules, difficulty breathing, sensation of ants crawling, localized swelling, pain, skin texture changes, mood swings"
rheumatic pain syndrome,"joint pain, fatigue, anxiety, depression, increased levels of pain in cold weather"
cherry hemangioma,"red skin spots, tenderness upon touch, bleeding when scratched, change in color over time"
pediatric acute non-lymphoblastic leukemia,"hepatosplenomegaly, skin and mucosal hemorrhage, subcutaneous nodules, child, bone pain, paleness, shortness of breath, persistent fatigue"
neonatal intracranial hemorrhage,"increased intracranial pressure, abnormal breathing, newborn, restlessness, pallor"
foreign body ingestion,"sensation of a foreign body in the throat, coughing, salivation, neck pain"
meckel's diverticulum,"lower right abdominal pain, child, fever, appetite loss, occasional vomiting"
bartter syndrome,"hypokalemia, arrhythmia, child, constipation, polyuria"
partial androgen deficiency in the aging male (padam),"depression, anxiety, male, reduced appetite, palpitations"
severe ovarian edema,"abdominal bloating, female, loss of appetite, urinary urgency, menstrual irregularities"
cerebral palsy in children,"nystagmus, generalized skeletal muscle spasm, child, eating difficulties, visual impairment, sleep disturbances"
subperiosteal orbital abscess,"proptosis, child, fever, headache, nasal congestion"
acquired hyperlipoproteinemia,"xanthoma, joint pain, diarrhea, weight loss"
traumatic asphyxia syndrome,"facial congestion, eyelid swelling, restlessness, chest tightness, dyspnea, delirium, soft tissue edema"
middle ear cancer,"ear pain, difficulty opening mouth, facial numbness, swollen lymph nodes near the ear, night sweats"
gastrointestinal manifestations of amyloidosis,"ulcer perforation or bleeding, malabsorption syndrome, anorexia, constipation, abdominal discomfort, weight loss"
benign prostatic hyperplasia,"frequent urination, elderly, male, increased post-void residual urine, incomplete bladder emptying, lingering dribble"
